Layer,Layer_Name,Solve_Rate_Percent,Avg_Solution_Prob_Percent,JS_Divergence,Kendall_Tau,Policy_Entropy
0,Input,9.0,9.152454209746793,0.6605083680988888,0.07669122949846018,2.258933397095588
1,Layer 0,16.0,11.028232643755473,0.6675509457150699,0.0294683547503947,1.597966761609789
2,Layer 1,18.0,15.754123927166802,0.6262981000571698,0.024171465436157547,1.6238588252991735
3,Layer 2,23.0,19.155530521744367,0.5972374942626295,0.07472271809402421,1.63168827818686
4,Layer 3,24.0,21.809471684973687,0.5682930227974227,0.11671192239640422,1.5821224917670478
5,Layer 4,28.000000000000004,22.982641808659537,0.5748818425266787,0.11471875791975145,1.3776377872173962
6,Layer 5,35.0,27.39714646092034,0.5318734375609042,0.14019425397728047,1.4288959970278483
7,Layer 6,35.0,27.882887111918535,0.5201364085894639,0.13960481046614148,1.5233983974144336
8,Layer 7,42.0,30.24992605764419,0.5001620494226551,0.1627972847651761,1.5368035161306883
9,Layer 8,46.0,32.21581842703745,0.48818525334621127,0.1573739363858168,1.5408977356204085
10,Layer 9,50.0,34.72401683498174,0.4742508246934982,0.17238907090338373,1.4695182737902712
11,Layer 10,46.0,34.91047335695475,0.4674280289768571,0.18696862601348233,1.481135100002965
12,Layer 11,55.00000000000001,41.16382753383368,0.4362113497483501,0.1724696330553644,1.354706336615549
13,Layer 12,67.0,48.774283008649945,0.37584825625675194,0.18101180577268763,1.21401647639138
14,Layer 13,81.0,51.38269111514091,0.3123707880296039,0.2905856554064241,1.4831368370893463
15,Full,96.0,76.45698590576649,0.0,1.0,0.931121155999915
